ds,y,yhat,yhat_lower,yhat_upper
2014-01-01,453,385.116279943255,308.4565268792056,463.2414211928019
2014-01-02,280,317.0065773080798,237.28421851660733,388.63683680938834
2014-01-03,315,325.89216974520133,250.37203968763268,399.72638899310266
2014-01-04,414,397.99287817234466,317.37639809278375,473.46316367339386
2014-01-05,465,376.39164180702085,301.3550557624945,449.8057632077436
2014-01-06,297,296.86542708808486,210.07070231556347,369.06283846658175
2014-01-07,263,304.4668236973025,229.58300964523127,378.1198820145507
2014-01-08,247,305.76396990329516,228.8354051346688,380.5065523950369
2014-01-09,257,305.56526703695715,236.16782881409665,382.7139713506812
2014-01-10,307,317.67144236121135,249.84058657935267,389.903424093124
2014-01-11,410,393.197781943549,316.80507476828967,468.98104754098085
2014-01-12,366,375.14961252168206,302.9986674724529,454.93718919149836
2014-01-13,284,299.22209305178023,226.6896757802151,377.5335131504195
2014-01-14,273,310.38385644483014,230.02645040242504,393.012347105165
2014-01-15,316,315.1190506202925,235.9940251151929,390.56101637658446
2014-01-16,348,318.1541819720874,239.292969840926,387.4743518745453
2014-01-17,278,333.21226329925787,259.406923071317,412.10400501613725
2014-01-18,406,411.33703169644826,337.88291649430266,488.5377700680652
2014-01-19,432,395.4702619376392,324.09028608620537,470.2215849719239
2014-01-20,261,321.2531867276146,247.23869008139283,396.5806401737191
2014-01-21,348,333.6115205277595,265.3015669469889,413.3843875134242
2014-01-22,410,338.99859901320986,263.1976671232399,416.05818862215415
2014-01-23,445,342.1230079293462,264.4289367244835,415.6989828605811
2014-01-24,424,356.7031826370082,272.48661797095605,426.9677089968954
2014-01-25,464,436.48986553782504,363.56105829809485,511.56440240989133
2014-01-26,466,419.05064458730345,346.6977004835106,495.6720527211264
2014-01-27,366,342.75959176372766,266.5875743039504,416.32293133094885
2014-01-28,417,352.5888476737921,277.1134996520736,426.5896032259452
2014-01-29,389,355.0486898419869,277.8670620666421,430.7908749375255
2014-01-30,419,354.9136916218097,279.7171922519396,431.3510969148632
2014-01-31,401,365.97562671404455,285.7199952487049,438.95735048226396
2014-02-01,575,439.3659194169525,366.08345498492287,513.9558161387538
2014-02-02,496,418.1307148293846,347.13376418184237,493.34333650322327
2014-02-03,457,338.02964172477033,262.66789040615583,406.90767091875847
2014-02-04,432,344.1178370713133,270.1810701146792,424.38313837028886
2014-02-05,404,342.9858254039254,264.4899112038568,411.9799441830086
2014-02-06,422,339.48371450946377,268.2578900657178,412.1991817247805
2014-02-07,0,347.4722809392516,276.3962761237805,426.59076976375883
2014-02-08,481,418.143792057935,342.35949850376187,496.2432903992321
2014-02-09,0,394.5956810855944,322.4938388813813,472.5413672774228
2014-02-10,302,309.93004904696636,235.92107524371238,376.3385373366955
2014-02-11,285,314.6273899805852,237.9303838411176,393.2274094227405
2014-02-12,272,312.59715121433896,237.3456503778333,390.2339509563295
2014-02-13,292,308.6942673001422,234.83926367036983,387.4375458092293
2014-02-14,309,316.7722415877205,238.91879170812803,388.3628298548347
2014-02-15,379,388.00441497384713,313.7871798244008,463.38403813463066
2014-02-16,438,365.45838772990936,297.31709880017064,441.0991688371512
2014-02-17,258,284.8946773216622,210.49235401397843,363.4477402486557
2014-02-18,270,291.34917640254054,215.98273782554486,367.4456008606317
2014-02-19,263,291.37398468650787,219.69898335259617,365.8711638978042
2014-02-20,254,289.7630427101488,212.8815524951546,360.7441950038065
2014-02-21,335,300.30509422569594,222.90670896362232,372.2705570934159
2014-02-22,462,374.10676661904165,300.4782297084835,441.8824351772233
2014-02-23,123,354.16881746689796,283.1496004616035,427.2839455945228
2014-02-24,266,276.186579376039,203.74023586977265,350.6243547820671
2014-02-25,300,285.1341183089827,215.4021192704065,366.6838271707251
2014-02-26,296,287.50663330064657,215.2116851007226,359.92019477908053
2014-02-27,269,288.04748420864973,213.6532555247876,363.44745931436034
2014-02-28,333,300.5023384327785,225.00591860469174,379.0933737358868
2014-03-01,533,375.943196708148,302.38232606732464,446.77887518606025
2014-03-02,424,357.3453240650667,279.7797944994469,432.3874504949981
2014-03-03,254,280.38810388484484,212.6460100546087,355.3878983740777
2014-03-04,244,290.0393241538879,209.1813347158133,358.3803153178727
2014-03-05,286,292.797425901277,216.2267796597424,361.8337888161483
2014-03-06,320,293.41811054376365,220.11115165494803,366.6149202670623
2014-03-07,352,305.6678147697798,234.11483967706002,381.5067806320066
2014-03-08,518,380.646837741724,310.07601462775136,455.4342183458525
2014-03-09,462,361.3651775616538,291.1317787207188,439.5850190055117
2014-03-10,262,283.54213095993595,211.99291763029598,352.9318363659491
2014-03-11,358,292.18920539976904,211.57584281799402,364.68548433663625
2014-03-12,263,293.8509164993944,218.77534816407533,367.836623350362
2014-03-13,268,293.32991192185335,213.52456534511933,365.6402607458447
2014-03-14,272,304.43897502587686,227.9057579525372,377.29110982729895
2014-03-15,411,378.32273649778426,304.79570429687334,453.91740262695816
2014-03-16,369,358.0321920678984,281.6148700844802,430.85841738598816
2014-03-17,246,279.3231177567229,204.6333207984895,357.26784972252136
2014-03-18,258,287.23796471941057,211.9725495922806,364.3197937170782
2014-03-19,237,288.34583388814616,211.2443771275493,360.18508055916703
2014-03-20,258,287.4669925794606,210.1202563876516,362.12030306458985
2014-03-21,280,298.4245004909115,222.08165298533058,381.73580984899087
2014-03-22,413,372.3657803665684,297.58138702611166,449.0917787091349
2014-03-23,427,352.3372310952231,280.25630975228995,427.63078379975616
2014-03-24,234,274.08296727158404,199.09527563271013,348.4560495111591
2014-03-25,300,282.6272529909132,209.6513906273369,355.753868943655
2014-03-26,250,284.51520947397665,212.00284128159177,360.19663196014517
2014-03-27,268,284.5382324804798,205.24351815135415,357.58465568280053
2014-03-28,241,296.486655995796,220.23244400173897,368.0257801177415
2014-03-29,383,371.4724628093667,297.66920589791835,443.0924841659081
2014-03-30,401,352.5051024710267,277.5692047584769,428.7164785379332
2014-03-31,321,275.2914619401044,194.79577911550396,346.975675811298
2014-04-01,270,284.8195177503774,208.2992940802608,360.12565738574966
2014-04-02,277,287.60021130896587,211.51902002760045,362.07032647885256
2014-04-03,264,288.3939474347867,212.97982070113068,363.94805010269584
2014-04-04,289,300.96421997917565,224.5571316312005,373.58485741104124
2014-04-05,404,376.40113667925726,299.0498319706425,451.1938318756527
2014-04-06,443,357.69788027761564,279.0621751860413,429.49086541344406
2014-04-07,286,280.5511334459053,201.5364957107727,360.29595119860846
2014-04-08,272,289.9449847306477,221.75255089828846,367.48070288460144
